Sno,Song,Artist,ArtistID,acousticness,danceability,liveness,loudness,speechiness,valence,energy
227,Drunk in Love Remix (feat. JAY Z & Kanye West),Beyonc‚,35,0.161,0.514,0.118,-3.58,0.052,0.474,0.763
228,Love On Top,Beyonc‚,35,0.0849,0.652,0.604,-5.242,0.0887,0.652,0.748
229,Party (feat. André 3000),Beyonc‚,35,0.0188,0.648,0.169,-6.267,0.0506,0.712,0.593
230,Schoolin' Life,Beyonc‚,35,0.0289,0.799,0.339,-5.481,0.0822,0.551,0.715
231,I Like It Like That (feat. New Boyz),Hot Chelle Rae,36,0.045,0.747,0.317,-5.938,0.0569,0.617,0.771
232,Tonight Tonight,Hot Chelle Rae,36,0.0764,0.686,0.163,-4.977,0.119,0.814,0.783
233,Honestly,Hot Chelle Rae,36,0.0268,0.641,0.11,-4.271,0.0375,0.916,0.787
234,Say (Half Past Nine),Hot Chelle Rae,36,0.000113,0.536,0.206,-3.065,0.0601,0.682,0.953
235,I Like to Dance,Hot Chelle Rae,36,0.00179,0.62,0.0887,-2.595,0.0486,0.83,0.958
236,Never Have I Ever,Hot Chelle Rae,36,6.46E-05,0.529,0.225,-3.2,0.0489,0.787,0.916
237,I Hate LA,Hot Chelle Rae,36,0.0234,0.854,0.0887,-6.649,0.0607,0.504,0.457
238,Too Much,Hot Chelle Rae,36,0.15,0.76,0.0616,-6.976,0.0536,0.578,0.612
239,Stay,Hot Chelle Rae,36,0.00536,0.439,0.197,-6.523,0.257,0.416,0.646
240,Head Above Water,Avril Lavigne,37,0.0112,0.578,0.102,-5.351,0.0706,0.268,0.694
241,Birdie,Avril Lavigne,37,0.272,0.548,0.26,-3.524,0.0864,0.452,0.824
242,I Fell in Love with the Devil,Avril Lavigne,37,0.0235,0.522,0.195,-7.165,0.0831,0.215,0.677
243,Take Me Away,Avril Lavigne,37,0.00138,0.511,0.198,-2.489,0.0343,0.255,0.892
244,Together,Avril Lavigne,37,0.000346,0.435,0.228,-2.91,0.035,0.301,0.861
245,Dark Fantasy,Kanye West,38,0.274,0.59,0.167,-5.919,0.0457,0.367,0.587
246,Power,Kanye West,38,0.0162,0.543,0.744,-4.746,0.113,0.577,0.915
247,On Sight,Kanye West,38,0.487,0.608,0.28,-3.182,0.325,0.515,0.469
248,Black Skinhead,Kanye West,38,0.00112,0.766,0.168,-6.124,0.268,0.299,0.821
249,Intro,Kanye West,38,0.223,0.806,0.519,-13.888,0.904,0.476,0.349
250,We Don't Care,Kanye West,38,0.0142,0.595,0.247,-5.827,0.181,0.647,0.754
251,Graduation Day,Kanye West,38,0.684,0.418,0.414,-9.058,0.338,0.869,0.447
252,Rock the Beat II,LMFAO,39,0.00215,0.388,0.188,-3.674,0.247,0.343,0.893
253,Sorry for Party Rocking,LMFAO,39,0.00213,0.6,0.413,-4.351,0.165,0.55,0.877
254,Rock the Beat II,LMFAO,39,0.00215,0.388,0.188,-3.674,0.247,0.343,0.893
255,Sorry for Party Rocking,LMFAO,39,0.00213,0.6,0.413,-4.351,0.165,0.55,0.877
256,Sweet Talker,Jessie J,40,0.61,0.663,0.208,-5.323,0.0621,0.588,0.655
257,Price Tag (feat. B.o.B),Jessie J,40,0.0839,0.583,0.387,-1.704,0.187,0.774,0.92
258,Nobody's Perfect,Jessie J,40,0.00226,0.571,0.663,-3.22,0.285,0.661,0.881
259,Abracadabra,Jessie J,40,0.0352,0.831,0.0393,-4.488,0.0415,0.767,0.822
260,Good Hit,Jennifer Lopez,41,0.115,0.797,0.121,-4.675,0.202,0.727,0.722
261,First Love,Jennifer Lopez,41,0.00961,0.622,0.311,-5.084,0.0444,0.455,0.708
262,Never Satisfied,Jennifer Lopez,41,0.0705,0.589,0.147,-4.159,0.0698,0.231,0.725
263,Qué Hiciste,Jennifer Lopez,41,0.526,0.623,0.161,-5.595,0.0996,0.594,0.71
264,Me Haces Falta,Jennifer Lopez,41,0.336,0.699,0.116,-8.006,0.0482,0.679,0.549
265,Como Ama una Mujer,Jennifer Lopez,41,0.681,0.553,0.118,-9.97,0.0304,0.107,0.355
266,Back to Sleep,Chris Brown,42,0.119,0.653,0.483,-6.308,0.213,0.797,0.675
267,Fine By Me,Chris Brown,42,0.14,0.714,0.0689,-4.833,0.049,0.665,0.701
268,Wrist (feat. Solo Lucci),Chris Brown,42,0.489,0.758,0.239,-8.338,0.154,0.518,0.388
269,Westside,Chris Brown,42,0.218,0.631,0.124,-7.118,0.32,0.376,0.703
270,Nothin' Like Me (feat. Ty Dolla $ign),Chris Brown,42,0.0286,0.854,0.0709,-7.983,0.121,0.431,0.547
271,Ayo,Chris Brown,42,0.0399,0.823,0.0851,-5.095,0.0443,0.682,0.563
272,Lost & Found,Chris Brown,42,0.652,0.483,0.123,-8.012,0.078,0.668,0.532
273,Privacy,Chris Brown,42,0.153,0.741,0.109,-7.741,0.378,0.428,0.58
274,Juicy Booty (feat. Jhené Aiko & R. Kelly),Chris Brown,42,0.0233,0.756,0.0914,-6.285,0.0637,0.731,0.598
275,Overture,Sleeping At Last,43,0.862,0.372,0.314,-11.811,0.0371,0.484,0.386
276,Woodwork,Sleeping At Last,43,0.548,0.191,0.079,-9.877,0.0375,0.0676,0.426
277,The Safety Dance,Sleeping At Last,43,0.706,0.443,0.12,-10.028,0.0365,0.423,0.349
278,Total Eclipse of the Heart,Sleeping At Last,43,0.952,0.45,0.159,-9.449,0.0533,0.366,0.257
279,Porcelain,Sleeping At Last,43,0.607,0.306,0.269,-7.474,0.0343,0.0798,0.55
280,Chandeliers,Sleeping At Last,43,0.443,0.266,0.0954,-8.259,0.031,0.0842,0.505
281,Naive,Sleeping At Last,43,0.939,0.402,0.105,-16.257,0.0465,0.228,0.0468
282,All Things Go,Nicki Minaj,44,0.0718,0.751,0.105,-10.966,0.281,0.276,0.463
283,I Lied,Nicki Minaj,44,0.384,0.623,0.109,-8.712,0.0881,0.387,0.388
284,I'm the Best,Nicki Minaj,44,0.0288,0.486,0.538,-5.037,0.335,0.321,0.835
285,Did It On'em,Nicki Minaj,44,0.0445,0.559,0.204,-7.032,0.351,0.472,0.414
286,Roman Holiday,Nicki Minaj,44,0.0304,0.8,0.162,-6.186,0.0967,0.402,0.742
287,Come On a Cone,Nicki Minaj,44,0.365,0.724,0.216,-4.419,0.195,0.753,0.822
288,Are We All We Are,P!nk,45,0.000933,0.49,0.823,-3.51,0.0658,0.527,0.93
289,Blow Me (One Last Kiss),P!nk,45,0.000145,0.597,0.282,-2.954,0.044,0.73,0.919
290,Try,P!nk,45,0.00141,0.673,0.0944,-7.072,0.0299,0.551,0.629
291,Get the Party Started,P!nk,45,0.00108,0.802,0.173,-3.267,0.0459,0.961,0.904
292,There You Go,P!nk,45,0.0862,0.822,0.0452,-6.729,0.0916,0.667,0.847
293,So What,P!nk,45,0.000329,0.534,0.241,-3.078,0.0425,0.462,0.87
294,Sober,P!nk,45,0.0626,0.612,0.187,-4.896,0.0315,0.373,0.797
295,I Don't Believe You,P!nk,45,0.762,0.459,0.108,-9.092,0.0274,0.238,0.276
296,Mylo Xyloto,Coldplay,46,0.435,0.151,0.228,-12.799,0.0373,0.226,0.389
297,Hurts Like Heaven,Coldplay,46,0.01,0.419,0.269,-6.187,0.0305,0.274,0.773
298,Paradise,Coldplay,46,0.0522,0.449,0.0833,-6.762,0.0268,0.203,0.585
299,Always In My Head,Coldplay,46,0.0128,0.499,0.068,-9.307,0.0254,0.0397,0.502
300,Magic,Coldplay,46,0.0262,0.738,0.106,-8.915,0.0403,0.355,0.483
301,Ink,Coldplay,46,0.0661,0.688,0.118,-7.31,0.0324,0.689,0.706
302,Best Song Ever,One Direction,47,0.0227,0.652,0.0789,-2.986,0.0465,0.486,0.877
303,Story of My Life,One Direction,47,0.225,0.6,0.119,-5.802,0.0477,0.286,0.663
304,Diana,One Direction,47,0.0604,0.549,0.137,-4.319,0.0614,0.755,0.868
305,Steal My Girl,One Direction,47,0.00433,0.536,0.114,-5.948,0.0347,0.545,0.768
306,Ready to Run,One Direction,47,0.00229,0.524,0.171,-4.174,0.036,0.299,0.831
307,Where Do Broken Hearts Go,One Direction,47,0.0014,0.565,0.105,-3.715,0.0326,0.647,0.862
308,Welcome To New York,Taylor Swift,48,0.038,0.793,0.304,-4.807,0.0324,0.615,0.634
309,Blank Space,Taylor Swift,48,0.103,0.76,0.0913,-5.412,0.054,0.57,0.703
310,Style,Taylor Swift,48,0.00245,0.588,0.118,-5.595,0.0402,0.487,0.791
311,Mine,Taylor Swift,48,0.00327,0.621,0.184,-2.934,0.0297,0.672,0.78
312,Sparks Fly,Taylor Swift,48,0.0387,0.608,0.158,-2.976,0.0311,0.376,0.785
313,Back to December,Taylor Swift,48,0.0202,0.517,0.324,-5.797,0.0289,0.296,0.606
314,Tiny Little Bows,Carly Rae Jepsen,49,0.0335,0.77,0.118,-4.85,0.058,0.876,0.924
315,This Kiss,Carly Rae Jepsen,49,0.00711,0.736,0.301,-4.323,0.0339,0.704,0.88
316,Call Me Maybe,Carly Rae Jepsen,49,0.0114,0.783,0.108,-6.548,0.0408,0.66,0.58
317,First Time,Carly Rae Jepsen,49,0.0545,0.849,0.326,-4.288,0.0602,0.576,0.726
318,Higher,Carly Rae Jepsen,49,0.00905,0.647,0.373,-4.565,0.0575,0.444,0.874
319,The One,Carly Rae Jepsen,49,0.0207,0.812,0.0976,-4.828,0.0486,0.86,0.783
320,Mr. Know It All,Kelly Clarkson,50,0.0284,0.676,0.0701,-5.131,0.029,0.443,0.807
321,Stronger (What Doesn't Kill You),Kelly Clarkson,50,0.046,0.562,0.112,-4.282,0.0475,0.684,0.939
322,Dark Side,Kelly Clarkson,50,0.0991,0.559,0.292,-4.04,0.05,0.292,0.86
323,Breakaway,Kelly Clarkson,50,0.0421,0.268,0.108,-4.151,0.0337,0.393,0.716
324,Since U Been Gone,Kelly Clarkson,50,0.00206,0.662,0.113,-5.354,0.0322,0.382,0.739
325,Behind These Hazel Eyes,Kelly Clarkson,50,0.00165,0.548,0.197,-4.682,0.0382,0.425,0.889
326,Wrapped in Red,Kelly Clarkson,50,0.365,0.54,0.132,-4.668,0.0366,0.36,0.734
327,Underneath the Tree,Kelly Clarkson,50,0.0013,0.509,0.214,-5.438,0.0537,0.689,0.812
328,Have Yourself a Merry Little Christmas,Kelly Clarkson,50,0.947,0.26,0.108,-10.463,0.0345,0.175,0.221
329,Cave In,Owl City,51,0.000721,0.667,0.225,-7.332,0.0333,0.649,0.733
330,The Bird and the Worm,Owl City,51,0.0249,0.556,0.127,-6.794,0.029,0.6,0.615
331,Hello Seattle,Owl City,51,0.00223,0.616,0.158,-4.682,0.0283,0.74,0.744
332,The Real World,Owl City,51,0.0584,0.546,0.0792,-5.196,0.0345,0.763,0.803
333,Deer In the Headlights,Owl City,51,0.0287,0.574,0.0697,-3.573,0.0485,0.95,0.981
334,Angels,Owl City,51,0.228,0.643,0.151,-4.498,0.0348,0.548,0.923
335,Dreams and Disasters,Owl City,51,0.00264,0.618,0.114,-4.417,0.0353,0.882,0.855
336,Shooting Star,Owl City,51,0.0125,0.514,0.112,-4.94,0.0522,0.459,0.872
337,Gold,Owl City,51,0.108,0.499,0.0928,-4.391,0.0537,0.54,0.931
338,Glad You Came,The Wanted,52,0.0319,0.722,0.108,-3.873,0.0639,0.452,0.851
339,Chasing the Sun,The Wanted,52,0.242,0.636,0.498,-6.209,0.0962,0.679,0.732
340,All Time Low,The Wanted,52,0.0293,0.636,0.0713,-6.584,0.0427,0.608,0.673
341,We Own the Night,The Wanted,52,0.00591,0.547,0.227,-4.052,0.131,0.557,0.939
342,In the Middle,The Wanted,52,0.296,0.599,0.117,-6.507,0.0385,0.219,0.771
343,Running Out of Reasons,The Wanted,52,0.125,0.626,0.0574,-3.728,0.0261,0.272,0.652
344,Glad You Came,The Wanted,52,0.0319,0.722,0.108,-3.873,0.0639,0.452,0.851
345,Glad You Came,The Wanted,52,0.0319,0.722,0.108,-3.873,0.0639,0.452,0.851
346,Glad You Came,The Wanted,52,0.0319,0.722,0.108,-3.873,0.0639,0.452,0.851
347,Some Nights (Intro),fun.,53,0.78,0.48,0.631,-10.587,0.0569,0.308,0.238
348,Some Nights,fun.,53,0.0178,0.672,0.0927,-7.045,0.0506,0.392,0.738
349,We Are Young (feat. Janelle Monáe),fun.,53,0.02,0.378,0.0849,-5.576,0.075,0.735,0.638
350,Be Calm,fun.,53,0.146,0.412,0.188,-6.508,0.0431,0.314,0.52
351,Benson Hedges,fun.,53,0.0281,0.365,0.631,-5.042,0.109,0.446,0.889
352,All the Pretty Girls,fun.,53,0.258,0.646,0.199,-4.654,0.0602,0.773,0.787
353,Be Calm,fun.,53,0.146,0.412,0.188,-6.508,0.0431,0.314,0.52
354,Benson Hedges,fun.,53,0.0281,0.365,0.631,-5.042,0.109,0.446,0.889
355,All the Pretty Girls,fun.,53,0.258,0.646,0.199,-4.654,0.0602,0.773,0.787
356,My Blood,Ellie Goulding,54,0.556,0.476,0.281,-5.283,0.029,0.306,0.592
357,Anything Could Happen,Ellie Goulding,54,0.433,0.702,0.135,-4.081,0.03,0.382,0.781
358,Za Intro,Gym Class Heroes,55,0.784,0.527,0.185,-7.047,0.115,0.819,0.691
359,Martyrial Girl$,Gym Class Heroes,55,0.000148,0.359,0.35,-4.778,0.109,0.333,0.957
360,Life Goes On (feat. Oh Land),Gym Class Heroes,55,0.0455,0.544,0.114,-4.346,0.159,0.484,0.869
361,The Queen and I,Gym Class Heroes,55,0.0113,0.627,0.0465,-8.953,0.0598,0.924,0.832
362,Shoot Down the Stars,Gym Class Heroes,55,0.167,0.684,0.155,-5.807,0.129,0.694,0.811
363,New Friend Request,Gym Class Heroes,55,0.0263,0.634,0.131,-5.389,0.237,0.701,0.85
364,The Queen and I,Gym Class Heroes,55,0.0113,0.627,0.0465,-8.953,0.0598,0.924,0.832
365,Shoot Down the Stars,Gym Class Heroes,55,0.167,0.684,0.155,-5.807,0.129,0.694,0.811
366,New Friend Request,Gym Class Heroes,55,0.0263,0.634,0.131,-5.389,0.237,0.701,0.85
367,Wake Me Up,Avicii,56,0.0038,0.532,0.161,-5.697,0.0523,0.643,0.783
368,You Make Me,Avicii,56,0.00247,0.586,0.152,-4.799,0.039,0.496,0.727
369,Hey Brother,Avicii,56,0.0552,0.456,0.397,-4.618,0.085,0.563,0.845
370,Levels,Avicii,56,0.047,0.584,0.309,-5.941,0.0343,0.466,0.89
371,Levels,Avicii,56,0.047,0.584,0.309,-5.941,0.0343,0.466,0.89
372,Levels,Avicii,56,0.047,0.584,0.309,-5.941,0.0343,0.466,0.89
373,We Cry,The Script,57,0.0479,0.555,0.351,-4.604,0.0642,0.663,0.881
374,Before the Worst,The Script,57,0.122,0.602,0.692,-4.204,0.0427,0.393,0.919
375,Talk You Down,The Script,57,0.0535,0.537,0.155,-3.928,0.0425,0.386,0.906
376,No Good in Goodbye,The Script,57,0.0104,0.365,0.0839,-4.657,0.0436,0.216,0.873
377,Superheroes,The Script,57,0.00219,0.491,0.0741,-4.121,0.0395,0.641,0.885
378,Man on a Wire,The Script,57,0.00198,0.393,0.0698,-3.533,0.0363,0.361,0.836
379,Breakout,Miley Cyrus,58,0.000132,0.444,0.229,-3.742,0.0504,0.796,0.841
380,7 Things,Miley Cyrus,58,0.0232,0.59,0.0786,-4.478,0.0363,0.542,0.903
381,The Driveway,Miley Cyrus,58,0.0245,0.434,0.104,-3.693,0.0471,0.552,0.87
382,Liberty Walk,Miley Cyrus,58,0.000472,0.573,0.36,-3.569,0.0403,0.581,0.886
383,Who Owns My Heart,Miley Cyrus,58,0.0106,0.571,0.0864,-4.985,0.129,0.356,0.805
384,Younger Now,Miley Cyrus,58,0.00129,0.548,0.138,-4.881,0.0618,0.328,0.873
385,Malibu,Miley Cyrus,58,0.0767,0.573,0.0813,-6.406,0.0555,0.343,0.781
386,Rainbowland (feat. Dolly Parton),Miley Cyrus,58,0.0789,0.572,0.0736,-6.665,0.0441,0.651,0.586
387,Greyhound,Swedish House Mafia,59,0.00666,0.723,0.276,-4.989,0.0521,0.539,0.806
388,Antidote (Radio Edit),Swedish House Mafia,59,0.00645,0.648,0.135,-4.974,0.111,0.633,0.859
389,Antidote,Swedish House Mafia,59,0.00645,0.648,0.135,-4.974,0.111,0.633,0.859
390,Antidote (Knife Party Dub),Swedish House Mafia,59,0.00223,0.721,0.0206,-6.163,0.116,0.391,0.836
391,Give Life Back to Music,Daft Punk,60,0.00286,0.788,0.0952,-10.671,0.0337,0.696,0.616
392,The Game of Love,Daft Punk,60,0.825,0.712,0.106,-11.948,0.0338,0.682,0.5
393,Giorgio by Moroder,Daft Punk,60,0.0692,0.74,0.381,-10.42,0.0504,0.41,0.682
394,Back from the Edge,James Arthur,61,0.091,0.486,0.122,-4.441,0.0539,0.474,0.726
395,Say You Won't Let Go,James Arthur,61,0.695,0.358,0.0902,-7.398,0.059,0.494,0.557
396,Prisoner,James Arthur,61,0.0288,0.601,0.183,-5.122,0.117,0.759,0.85
397,Get Down,James Arthur,61,0.000784,0.495,0.322,-4.971,0.0374,0.348,0.774
398,New Tattoo,James Arthur,61,0.0321,0.651,0.146,-4.656,0.209,0.609,0.908
399,Complicated,Robin Thicke,62,0.443,0.754,0.164,-9.144,0.0494,0.404,0.367
400,Would That Make U Love Me,Robin Thicke,62,0.127,0.962,0.108,-10.694,0.0618,0.781,0.377
401,Take It Easy On Me,Robin Thicke,62,0.00403,0.716,0.0675,-6.335,0.0426,0.617,0.852
402,Ooo La La,Robin Thicke,62,0.0188,0.683,0.316,-4.292,0.0424,0.615,0.831
403,911,Robin Thicke,62,0.0551,0.897,0.162,-6.669,0.495,0.884,0.532
404,Mrs. Sexy,Robin Thicke,62,0.23,0.725,0.104,-5.323,0.0865,0.732,0.652
405,Sex Therapy,Robin Thicke,62,0.647,0.704,0.228,-4.404,0.0294,0.37,0.524
406,Who's That Boy (feat. Dev),Demi Lovato,63,2.45E-05,0.721,0.0693,-9.68,0.0804,0.4,0.626
407,Confident,Demi Lovato,63,0.00188,0.594,0.0869,-6.251,0.0677,0.344,0.749
408,Cool for the Summer,Demi Lovato,63,0.00425,0.583,0.14,-5.639,0.0382,0.336,0.61
409,Old Ways,Demi Lovato,63,0.214,0.626,0.262,-6.487,0.0582,0.58,0.69
410,La la Land,Demi Lovato,63,0.0149,0.467,0.0193,-2.255,0.069,0.706,0.919
411,Get Back,Demi Lovato,63,0.00327,0.558,0.0426,-3.722,0.116,0.72,0.867
412,Trainwreck,Demi Lovato,63,0.193,0.477,0.349,-3.846,0.0476,0.587,0.836
413,Shave It Up,Zedd,64,0.000176,0.539,0.334,-4.213,0.0379,0.293,0.965
414,Shave It Up,Zedd,64,0.000176,0.539,0.334,-4.213,0.0379,0.293,0.965
415,Born to Die,Lana Del Rey,65,0.222,0.428,0.277,-6.639,0.0339,0.379,0.626
416,Off to the Races,Lana Del Rey,65,0.0621,0.399,0.278,-5.562,0.0523,0.113,0.721
417,Blue Jeans,Lana Del Rey,65,0.418,0.558,0.0821,-4.405,0.0633,0.488,0.837
418,Ride,Lana Del Rey,65,0.128,0.373,0.383,-5.52,0.034,0.189,0.686
419,American,Lana Del Rey,65,0.624,0.387,0.112,-9.77,0.0353,0.113,0.352
420,Cola,Lana Del Rey,65,0.0699,0.298,0.59,-5.536,0.0478,0.121,0.668
421,Born to Die,Lana Del Rey,65,0.222,0.428,0.277,-6.639,0.0339,0.379,0.626
422,Off to the Races,Lana Del Rey,65,0.0621,0.399,0.278,-5.562,0.0523,0.113,0.721
423,Blue Jeans,Lana Del Rey,65,0.418,0.558,0.0821,-4.405,0.0633,0.488,0.837
424,Green Valley,Calvin Harris,66,0.439,0.483,0.0756,-8.922,0.0509,0.226,0.494
425,Bounce (feat. Kelis),Calvin Harris,66,0.0334,0.779,0.664,-2.125,0.0399,0.759,0.963
426,Feel so Close,Calvin Harris,66,0.000972,0.707,0.204,-2.842,0.031,0.919,0.924
427,Faith,Calvin Harris,66,0.235,0.623,0.398,-2.675,0.0427,0.535,0.957
428,Under Control (feat. Hurts),Calvin Harris,66,0.0388,0.643,0.0604,-5.102,0.0644,0.148,0.9
429,Blame (feat. John Newman),Calvin Harris,66,0.0293,0.614,0.135,-4.102,0.0443,0.175,0.911
430,Slide (feat. Frank Ocean & Migos),Calvin Harris,66,0.498,0.736,0.254,-3.299,0.0545,0.511,0.795
431,"Cash Out (feat. ScHoolboy Q, PARTYNEXTDOOR & D.R.A.M)",Calvin Harris,66,0.176,0.74,0.0799,-4.403,0.164,0.765,0.76
432,"Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",Calvin Harris,66,0.339,0.785,0.176,-4.545,0.0505,0.73,0.735
433,Keep the Family Close,Drake,67,0.139,0.352,0.382,-7.675,0.0454,0.205,0.56
434,9,Drake,67,0.000819,0.704,0.229,-7.198,0.0445,0.0381,0.71
435,U With Me?,Drake,67,0.34,0.43,0.134,-11.352,0.157,0.12,0.422
436,Legend,Drake,67,0.0269,0.712,0.0776,-7.573,0.071,0.299,0.563
437,Energy,Drake,67,0.38,0.748,0.534,-7.916,0.478,0.553,0.571
438,10 Bands,Drake,67,0.262,0.825,0.0762,-3.687,0.384,0.89,0.757
439,Tuscan Leather,Drake,67,0.114,0.432,0.236,-5.4,0.437,0.296,0.681
440,Furthest Thing,Drake,67,0.149,0.485,0.0568,-5.261,0.142,0.267,0.78
441,Started From the Bottom,Drake,67,0.0331,0.794,0.156,-7.829,0.161,0.56,0.523
442,Love Song,Sara Bareilles,68,0.0208,0.583,0.188,-3.142,0.0301,0.573,0.786
443,Vegas,Sara Bareilles,68,0.00881,0.629,0.182,-5.85,0.0305,0.6,0.603
444,Bottle It Up,Sara Bareilles,68,0.202,0.647,0.157,-4.161,0.0298,0.706,0.718
445,Kaleidoscope Heart,Sara Bareilles,68,0.806,0.455,0.0817,-11.853,0.0927,0.235,0.0516
446,Uncharted,Sara Bareilles,68,0.285,0.456,0.0343,-3.725,0.0435,0.724,0.728
447,Gonna Get Over You,Sara Bareilles,68,0.0199,0.619,0.126,-4.642,0.0301,0.605,0.799
448,Once Upon Another Time,Sara Bareilles,68,0.896,0.275,0.231,-14.504,0.0493,0.0551,0.216
449,Stay,Sara Bareilles,68,0.589,0.262,0.14,-8.496,0.031,0.181,0.341
450,Lie to Me,Sara Bareilles,68,0.0516,0.683,0.0937,-6.878,0.0425,0.795,0.622
451,Ten Thousand Hours,Macklemore & Ryan Lewis,69,0.199,0.374,0.144,-7.566,0.305,0.535,0.758
452,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,69,0.0619,0.781,0.0457,-6.985,0.293,0.662,0.526
453,Ten Thousand Hours,Macklemore & Ryan Lewis,69,0.199,0.374,0.144,-7.566,0.305,0.535,0.758
454,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,69,0.0619,0.781,0.0457,-6.985,0.293,0.662,0.526
455,Ten Thousand Hours,Macklemore & Ryan Lewis,69,0.199,0.374,0.144,-7.566,0.305,0.535,0.758
456,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,69,0.0619,0.781,0.0457,-6.985,0.293,0.662,0.526
457,Beneath Your Beautiful (feat. Emeli Sandé),Labrinth,70,0.228,0.558,0.104,-5.857,0.036,0.228,0.522
